mission_id,time,real_x,real_y,real_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,wind_x,wind_y,wind_z,velocity,rain,fog,snow,is_attack,ligne_id
0,1.0,1744992589.0601318,0.0,0.0,-5.0,0.0024213138967752,-0.0038590342737734,0.0009638049523346,-0.0579900853335857,-0.0568407177925109,-9.735323905944824,0.0004676469958691,0.0026312812664675,-2.6632646130708557,3.029774510095694,2.3595225265516437,0.4207363547667251,17.65,0.36,0.046,0.144,1.0,0
1,1.0,1744992589.563954,2.0,0.0,-5.0,0.0024253474548459,-0.0002020984975388,0.0014848909340798,-0.0368406400084495,-0.0367648862302303,-9.7839994430542,0.0004366711468712,0.002528812237873,-2.663252660371651,2.633299647755139,2.143973029217728,0.5087611418736864,17.65,0.36,0.046,0.144,1.0,1
2,1.0,1744992591.0668466,4.0,0.0,-5.0,-0.0029047881253063,-0.0006944598862901,0.0015947212232276,-0.0493976213037967,0.0118948798626661,-9.831541061401367,0.0003950278967933,0.0025224312982626,-2.663085726641803,2.6002199477525445,1.9745603415823576,0.5191336415027802,17.65,0.36,0.046,0.144,1.0,2
3,1.0,1744992591.5742683,6.0,0.0,-5.0,0.0003226711123716,-0.003064383752644,-0.0005487648304551,-0.0628687068819999,-0.0972465872764587,-9.798310279846191,0.0004411947558407,0.002522945205105,-2.663127188072527,3.271523494327413,2.2297697324565613,0.4649023677122196,17.65,0.36,0.046,0.144,1.0,3
4,1.0,1744992592.078044,8.0,0.0,-5.0,0.001479611499235,-0.0002644148480612,0.0010387585498392,0.0861744359135627,0.0995806753635406,-9.823530197143556,0.0004537240664656,0.0025272705811875,-2.6631658409330004,3.2154489867267,2.419700010862304,0.4137180939465537,17.65,0.36,0.046,0.144,1.0,4
5,1.0,1744992592.5835197,10.0,0.0,-5.0,-0.001757622230798,0.0007205365691334,0.0015511441743001,0.0677400156855583,0.0168598406016826,-9.885490417480469,0.0003820336059556,0.0024108288399639,-2.6630880610071963,3.3772982616626748,1.93602116832527,0.5807094312116935,17.65,0.36,0.046,0.144,1.0,5
6,1.0,1744992593.088567,12.0,0.0,-5.0,0.0011677894508466,0.0012859366834163,0.0048916176892817,0.0553457699716091,-0.0107456101104617,-9.823891639709473,0.0004902176541949,0.0024281418188315,-2.6630489431216,2.693949869028674,2.3922638788077766,0.5624878765380426,17.65,0.36,0.046,0.144,1.0,6
7,1.0,1744992593.5943274,14.0,0.0,-5.0,0.0008396071498282,-0.0012761891121044,0.0030226467642933,-0.0258689876645803,0.0041181105189025,-9.783088684082031,0.0005367827445956,0.0024453677360171,-2.663002069441841,2.714314045510906,1.7083733040424272,0.4921290594286215,17.65,0.36,0.046,0.144,1.0,7
8,1.0,1744992594.0979605,16.0,0.0,-5.0,0.0030007704626768,-0.0011300867190584,0.0003333188360556,-0.0359167903661727,0.0670890882611274,-9.775635719299316,0.0006252524919141,0.0023953577740322,-2.662969775329677,3.493718523913292,1.5671066584100783,0.5817991891518153,17.65,0.36,0.046,0.144,1.0,8
9,1.0,1744992594.6046028,18.0,0.0,-5.0,0.0042627737857401,-0.0010740767465904,0.0013258785475045,-0.0276166666299104,-0.0047168293967843,-9.835748672485352,0.0006089863806796,0.0024126731791956,-2.662874296558434,3.391680132104775,1.84391015806808,0.5745534910211291,17.65,0.36,0.046,0.144,1.0,9
10,1.0,1744992595.1099148,20.0,0.0,-5.0,0.0035616969689726,-0.0005289583350531,0.0026358431205153,-0.0610406138002872,0.0001121431050705,-9.820630073547363,0.0005920184535385,0.0024119506590379,-2.6628875892967705,2.99618997193583,1.7206202272993338,0.5424243272522702,17.65,0.36,0.046,0.144,1.0,10
11,1.0,1744992595.6133022,18.0,0.0,-5.0,0.0029856024775654,0.0017493019113317,0.0044600614346563,0.0170672759413719,0.0869107618927955,-9.7992582321167,0.0005833956214729,0.0023968124424866,-2.6628232646223906,2.694843226020453,1.860833364081913,0.480494245763796,17.65,0.36,0.046,0.144,1.0,11
